Warehouse,Product,Supplier,Stock_Level,Reorder_Level,Transport_Cost,Last_Updated
WH-E,Keyboard,Supplier-X,394.0,115,1548.74,2025-06-20
WH-A,Keyboard,Supplier-X,323.0,127,1377.96,2025-10-23
WH-D,Keyboard,Supplier-Y,212.0,72,1390.38,2025-10-05
WH-A,Camera,Supplier-Z,,30,2080.64,2025-04-01
WH-D,Camera,Supplier-A,442.0,94,2076.32,2025-01-11
WH-A,Keyboard,Supplier-Z,239.0,158,1214.88,2026-05-30
WH-E,Keyboard,Supplier-B,,80,1688.39,2026-02-07
WH-C,Mouse,Supplier-A,456.0,61,1661.43,2026-01-06
WH-B,Keyboard,Supplier-X,360.0,197,1595.81,2026-05-07
WH-D,Laptop,Supplier-Y,76.0,54,1513.2,2026-01-23
WH-A,Mouse,Supplier-B,312.0,28,1411.78,2024-08-09
WH-C,Printer,Supplier-A,46.0,25,1140.88,2024-09-30
WH-C,Printer,Supplier-A,250.0,133,1457.74,2025-09-25
WH-E,Mouse,Supplier-Z,,174,1294.67,2024-10-04
WH-D,Keyboard,Supplier-B,,32,1158.5,2025-03-24
WH-B,Mobile,Supplier-Z,188.0,181,1596.61,2025-06-06
WH-D,Camera,Supplier-Z,,22,1782.03,2025-01-13
WH-B,Printer,Supplier-Z,,10,1345.81,2026-01-25
WH-C,CPU,Supplier-Y,122.0,131,1320.7,2025-03-31
WH-B,Laptop,Supplier-A,6.0,76,1305.15,2024-12-26
WH-B,Printer,Supplier-Y,154.0,120,1392.25,2025-03-01
WH-A,CPU,Supplier-Z,320.0,15,1620.59,2026-03-25
WH-A,Monitor,Supplier-X,255.0,185,1309.62,2025-10-21
WH-B,Speaker,Supplier-B,,20,1595.22,2024-07-13
WH-B,Printer,Supplier-B,424.0,59,1921.06,2026-06-12
WH-B,Camera,Supplier-Y,481.0,83,2219.69,2025-08-10
WH-D,Printer,Supplier-A,46.0,65,1196.89,2025-04-09
WH-B,Camera,Supplier-B,416.0,92,1998.38,2024-07-28
WH-B,Speaker,Supplier-Z,135.0,33,1197.91,2025-11-29
WH-D,Laptop,Supplier-Y,227.0,178,1834.37,2025-04-28
WH-C,Tablet,Supplier-A,,39,1218.04,2025-11-03
WH-C,Camera,Supplier-Y,147.0,136,1468.11,2025-10-06
WH-C,Tablet,Supplier-X,498.0,39,2022.06,2026-01-24
WH-D,Camera,Supplier-B,,198,1569.85,2024-08-27
WH-E,Tablet,Supplier-Y,271.0,140,1691.23,2024-08-17
WH-C,Tablet,Supplier-Z,266.0,134,1603.7,2025-06-18
WH-E,Mouse,Supplier-Z,,183,1348.42,2026-05-28
WH-D,CPU,Supplier-X,310.0,189,1668.39,2026-03-19
WH-B,Monitor,Supplier-X,90.0,51,1138.82,2025-02-12
WH-B,Laptop,Supplier-A,415.0,177,2051.81,2025-10-29
WH-B,Printer,Supplier-A,,75,1893.25,2025-01-04
WH-D,Printer,Supplier-X,282.0,122,1657.86,2026-02-12
WH-B,Mouse,Supplier-A,339.0,59,1448.47,2025-08-30
WH-B,Camera,Supplier-Z,112.0,61,1440.83,2025-07-01
WH-E,Tablet,Supplier-B,177.0,42,1462.57,2025-03-25
WH-E,Keyboard,Supplier-Y,352.0,125,1501.46,2025-04-11
WH-B,Printer,Supplier-Z,493.0,98,2007.29,2025-11-11
WH-E,Laptop,Supplier-B,357.0,101,1949.54,2025-05-20
WH-C,Printer,Supplier-B,16.0,157,1139.0,2026-01-19
WH-D,Printer,Supplier-X,92.0,153,1409.91,2025-10-18
WH-A,Laptop,Supplier-Y,330.0,106,1832.73,2025-04-13
WH-A,Printer,Supplier-A,183.0,157,1332.28,2025-05-05
WH-E,CPU,Supplier-B,176.0,47,1408.08,2024-12-25
WH-D,CPU,Supplier-X,468.0,146,1876.46,2024-08-11
WH-C,Tablet,Supplier-A,347.0,136,1713.27,2024-10-05
WH-E,Mouse,Supplier-X,70.0,17,964.01,2025-08-04
WH-A,Speaker,Supplier-A,50.0,120,1023.16,2024-07-18
WH-A,Tablet,Supplier-B,,168,1490.78,2026-01-16
WH-B,Mouse,Supplier-Y,190.0,161,1247.08,2025-09-12
WH-B,Monitor,Supplier-A,484.0,176,1909.46,2025-10-14
WH-B,Printer,Supplier-X,154.0,172,1318.77,2024-08-11
WH-E,Laptop,Supplier-X,19.0,194,1366.34,2024-11-21
WH-C,Camera,Supplier-X,2.0,24,1241.2,2026-04-06
WH-E,Mouse,Supplier-B,265.0,74,1391.55,2025-09-28
WH-D,Speaker,Supplier-Y,25.0,71,999.53,2025-04-01
WH-E,Printer,Supplier-Z,,83,1552.54,2026-05-29
WH-B,Tablet,Supplier-Y,435.0,175,1892.91,2025-01-30
WH-C,Camera,Supplier-B,,189,1751.74,2024-07-24
WH-D,Tablet,Supplier-X,390.0,64,2011.52,2025-01-26
WH-C,Speaker,Supplier-Y,72.0,185,980.07,2025-12-15
WH-E,Monitor,Supplier-Z,255.0,129,1515.69,2024-12-24
WH-A,Keyboard,Supplier-B,456.0,151,1645.78,2025-02-20
WH-D,Speaker,Supplier-B,285.0,11,1497.83,2024-08-21
WH-B,Keyboard,Supplier-A,,37,1183.07,2025-12-09
WH-C,Laptop,Supplier-X,,179,1536.03,2024-12-16
WH-A,Monitor,Supplier-A,40.0,132,958.88,2026-06-22
WH-C,Tablet,Supplier-B,386.0,79,1858.48,2024-10-30
WH-A,Mobile,Supplier-B,17.0,196,1124.63,2025-10-17
WH-D,Keyboard,Supplier-X,352.0,65,1641.1,2025-11-23
WH-B,Camera,Supplier-X,,80,1898.44,2026-06-20
WH-D,Camera,Supplier-Y,115.0,41,1520.9,2025-10-10
WH-E,Printer,Supplier-Y,428.0,78,1916.08,2024-08-15
WH-E,Camera,Supplier-B,462.0,30,2035.06,2025-11-17
WH-A,Mouse,Supplier-Y,220.0,181,1197.37,2025-03-31
WH-B,Speaker,Supplier-B,,47,1912.76,2026-05-13
WH-B,Camera,Supplier-A,468.0,81,2002.03,2024-07-25
WH-A,Mobile,Supplier-Z,263.0,31,1642.63,2026-01-13
WH-B,Mobile,Supplier-B,426.0,177,2019.79,2025-12-31
WH-A,Mouse,Supplier-Y,74.0,108,962.29,2025-06-02
WH-B,Speaker,Supplier-A,137.0,99,1094.75,2026-06-20
WH-C,Monitor,Supplier-Z,110.0,187,1191.98,2024-10-08
WH-A,Mobile,Supplier-A,49.0,177,1204.3,2024-07-15
WH-D,Speaker,Supplier-Z,434.0,184,1826.05,2024-11-05
WH-A,Camera,Supplier-X,35.0,21,1225.52,2025-02-03
WH-B,Speaker,Supplier-X,6.0,61,948.12,2025-05-13
WH-E,CPU,Supplier-A,414.0,30,1756.2,2025-03-16
WH-D,Speaker,Supplier-X,183.0,21,1311.01,2025-07-25
WH-A,Speaker,Supplier-B,294.0,27,1403.85,2025-01-07
WH-A,Speaker,Supplier-A,319.0,49,1348.48,2025-07-09
WH-C,Speaker,Supplier-X,,175,1490.69,2025-05-12
WH-A,Monitor,Supplier-Z,232.0,59,1451.29,2025-07-19
WH-A,Mouse,Supplier-Z,245.0,134,1201.43,2024-12-08
WH-E,Camera,Supplier-X,420.0,64,2013.83,2024-09-16
WH-B,Printer,Supplier-A,30.0,174,1095.27,2024-09-10
WH-D,CPU,Supplier-Z,,154,2026.75,2025-03-02
WH-A,CPU,Supplier-X,220.0,16,1433.93,2026-06-04
WH-C,Laptop,Supplier-X,203.0,76,1574.37,2026-04-06
WH-D,Mobile,Supplier-A,41.0,34,1361.97,2025-11-16
WH-C,Speaker,Supplier-A,282.0,20,1388.24,2024-12-19
WH-E,Laptop,Supplier-Y,213.0,114,1729.5,2025-07-14
WH-A,Mobile,Supplier-Y,137.0,47,1471.44,2024-09-23
WH-D,Mouse,Supplier-Z,416.0,136,1706.53,2025-10-31
WH-C,Monitor,Supplier-B,,162,1072.51,2026-03-06
WH-B,Speaker,Supplier-B,,91,1154.92,2025-04-04
WH-E,Tablet,Supplier-Z,247.0,98,1588.81,2025-08-22
WH-D,Speaker,Supplier-A,393.0,160,1663.54,2024-08-13
WH-D,Printer,Supplier-A,165.0,144,1454.06,2024-08-24
WH-B,Camera,Supplier-A,320.0,30,1829.83,2025-03-10
WH-A,Keyboard,Supplier-X,,134,1492.76,2025-07-13
WH-A,Printer,Supplier-B,,131,1647.25,2025-08-02
WH-E,Monitor,Supplier-X,54.0,181,1194.88,2024-11-03
WH-D,Monitor,Supplier-A,305.0,131,1625.77,2026-02-06
WH-C,Mouse,Supplier-X,353.0,190,1581.41,2026-06-23
WH-E,Monitor,Supplier-Y,87.0,175,1242.88,2024-09-22
WH-D,Mobile,Supplier-X,,167,1945.14,2025-08-07
WH-B,Camera,Supplier-B,3.0,140,1241.86,2026-03-27
WH-E,Mobile,Supplier-Y,131.0,27,1464.92,2025-02-16
WH-A,Printer,Supplier-X,287.0,51,1505.43,2024-11-04
WH-C,Mouse,Supplier-B,69.0,90,1009.9,2025-09-03
WH-B,Camera,Supplier-B,,116,1531.46,2025-02-07
WH-D,Camera,Supplier-Y,291.0,163,1850.16,2025-12-10
WH-C,Monitor,Supplier-A,,176,1093.46,2026-04-21
WH-D,Mobile,Supplier-X,15.0,94,1201.26,2025-12-05
WH-B,Tablet,Supplier-Z,192.0,108,1533.27,2024-12-10
WH-E,Mobile,Supplier-X,281.0,194,1723.62,2025-05-06
WH-B,Monitor,Supplier-X,134.0,66,1301.9,2026-05-21
WH-D,Mobile,Supplier-X,,37,1567.51,2026-01-30
WH-C,Camera,Supplier-Z,,131,1342.46,2025-03-22
WH-C,Speaker,Supplier-Y,35.0,191,982.27,2025-05-24
WH-E,Laptop,Supplier-X,,151,1817.61,2026-04-05
WH-B,Camera,Supplier-A,357.0,77,1890.29,2025-06-14
WH-C,Printer,Supplier-Y,,199,1340.31,2026-06-14
WH-E,Laptop,Supplier-Z,492.0,192,2163.45,2025-12-28
WH-A,Speaker,Supplier-X,344.0,139,1457.09,2026-04-14
WH-A,Speaker,Supplier-Y,341.0,127,1491.84,2024-08-09
WH-D,Monitor,Supplier-Y,115.0,200,1391.15,2025-11-20
WH-B,Laptop,Supplier-Z,167.0,161,1713.29,2026-06-13
WH-E,Mobile,Supplier-A,,144,1112.32,2024-11-18
WH-D,Monitor,Supplier-Z,297.0,99,1647.71,2025-11-15
WH-E,CPU,Supplier-Z,494.0,15,2029.95,2026-01-03
WH-B,Printer,Supplier-Y,18.0,180,1188.09,2025-05-09
WH-C,Keyboard,Supplier-A,379.0,70,1527.95,2025-10-18
WH-C,Laptop,Supplier-A,,27,1627.04,2025-12-30
WH-A,Camera,Supplier-A,243.0,188,1605.94,2026-06-04
WH-A,Keyboard,Supplier-Z,382.0,132,1584.38,2026-01-08
WH-B,Mobile,Supplier-Z,221.0,15,1705.5,2025-07-28
WH-B,Mobile,Supplier-X,164.0,179,1527.77,2025-05-21
WH-A,Camera,Supplier-Y,,72,1778.04,2025-01-07
WH-D,CPU,Supplier-Y,335.0,89,1800.95,2025-04-14
WH-C,Tablet,Supplier-X,300.0,181,1601.36,2025-09-21
WH-B,Laptop,Supplier-A,146.0,19,1540.96,2025-04-11
WH-D,Keyboard,Supplier-Z,162.0,156,1257.33,2025-02-23
WH-D,Laptop,Supplier-B,451.0,131,2205.89,2025-05-28
WH-A,Camera,Supplier-Y,56.0,44,1396.53,2025-12-27
WH-B,Printer,Supplier-A,,195,1803.04,2025-02-11
WH-E,Printer,Supplier-B,302.0,118,1692.91,2025-03-15
WH-E,Camera,Supplier-Z,116.0,88,1413.16,2026-05-06
WH-D,Speaker,Supplier-Z,,190,1051.4,2026-05-11
WH-B,Camera,Supplier-Z,209.0,167,1740.65,2025-03-03
WH-C,Speaker,Supplier-Z,385.0,173,1626.21,2025-05-13
WH-E,Tablet,Supplier-Y,126.0,119,1327.91,2024-11-22
WH-D,Mobile,Supplier-Y,26.0,45,1291.03,2026-01-03
WH-D,Camera,Supplier-Y,302.0,62,1907.58,2025-04-03
WH-A,Speaker,Supplier-X,330.0,199,1377.48,2024-10-21
WH-D,CPU,Supplier-A,348.0,124,1757.22,2024-11-27
WH-D,Camera,Supplier-B,463.0,144,2175.68,2024-12-02
WH-D,Keyboard,Supplier-X,475.0,77,1752.42,2025-01-31
WH-A,Tablet,Supplier-X,,35,1780.0,2026-02-11
WH-E,Camera,Supplier-A,,140,2031.5,2026-05-08
WH-A,Speaker,Supplier-Z,314.0,26,1343.94,2025-02-04
WH-C,Tablet,Supplier-Y,410.0,104,1877.32,2025-03-11
WH-A,Speaker,Supplier-A,46.0,197,859.71,2024-12-18
WH-A,Speaker,Supplier-B,,180,1620.82,2025-10-30
WH-E,Speaker,Supplier-X,181.0,59,1181.17,2025-06-09
WH-C,Tablet,Supplier-B,243.0,95,1571.66,2024-09-18
WH-C,Mouse,Supplier-A,202.0,178,1188.85,2026-01-27
WH-B,Tablet,Supplier-Y,362.0,180,1874.89,2025-07-28
WH-D,Laptop,Supplier-Z,,53,1798.19,2024-10-04
WH-C,Laptop,Supplier-Z,326.0,81,1880.07,2026-03-17
WH-D,Printer,Supplier-B,333.0,107,1765.65,2024-11-24
WH-E,Camera,Supplier-X,44.0,139,1271.53,2025-09-30
WH-A,Laptop,Supplier-B,33.0,85,1387.67,2025-07-27
WH-B,Mouse,Supplier-X,173.0,124,1191.65,2025-05-18
WH-C,Keyboard,Supplier-X,102.0,164,950.56,2025-08-06
WH-D,Printer,Supplier-Y,325.0,186,1810.89,2025-03-15
WH-D,Monitor,Supplier-B,314.0,67,1811.31,2026-02-21
WH-B,CPU,Supplier-A,170.0,56,1427.62,2025-04-26
WH-D,Keyboard,Supplier-B,333.0,88,1493.43,2025-01-12
WH-E,Monitor,Supplier-B,413.0,127,1784.19,2025-09-02
WH-A,Camera,Supplier-B,193.0,116,1600.75,2026-02-21
WH-A,Laptop,Supplier-Z,422.0,109,1984.22,2026-05-15
WH-A,Mouse,Supplier-X,84.0,33,933.39,2026-03-07
WH-B,Laptop,Supplier-B,73.0,189,1510.13,2025-07-23
WH-D,Mobile,Supplier-B,197.0,40,1598.25,2026-04-04
WH-C,CPU,Supplier-X,17.0,30,1057.62,2024-07-09
WH-C,Mobile,Supplier-X,137.0,154,1234.54,2026-02-03
WH-C,Mobile,Supplier-B,415.0,106,1885.78,2024-09-23
WH-C,Printer,Supplier-Y,173.0,86,1378.77,2024-07-18
WH-C,Monitor,Supplier-Y,45.0,49,1048.61,2025-06-04
WH-D,Keyboard,Supplier-Z,245.0,18,1512.62,2024-11-29
WH-A,Laptop,Supplier-X,273.0,159,1619.89,2024-10-31
WH-E,Camera,Supplier-A,,92,1425.2,2026-04-30
WH-E,Tablet,Supplier-A,489.0,114,2001.74,2025-11-12
WH-D,CPU,Supplier-B,181.0,47,1567.86,2026-03-19
WH-A,Camera,Supplier-X,,35,1171.81,2024-07-03
WH-D,Monitor,Supplier-Z,453.0,106,2033.56,2025-08-13
WH-D,Speaker,Supplier-Y,,30,1889.71,2025-04-30
WH-E,Printer,Supplier-X,,33,1052.92,2024-08-23
WH-D,Keyboard,Supplier-Y,211.0,186,1362.91,2025-10-31
WH-D,Laptop,Supplier-B,461.0,155,2229.75,2025-12-16
WH-B,Speaker,Supplier-Z,261.0,104,1419.79,2024-10-01
WH-D,Mobile,Supplier-Y,76.0,86,1420.29,2024-08-31
WH-D,Mouse,Supplier-Z,424.0,185,1713.93,2025-12-17
WH-D,Monitor,Supplier-A,243.0,195,1533.08,2024-09-23
WH-A,Keyboard,Supplier-A,279.0,45,1305.31,2026-03-05
WH-C,Tablet,Supplier-A,,18,1696.7,2024-12-08
WH-B,Laptop,Supplier-A,4.0,182,1235.31,2025-03-11
WH-B,Camera,Supplier-Z,347.0,137,2041.25,2025-04-05
WH-C,Keyboard,Supplier-X,197.0,197,1087.0,2025-07-14
WH-C,Speaker,Supplier-X,18.0,140,894.81,2026-04-13
WH-A,CPU,Supplier-A,460.0,182,1827.42,2024-10-30
WH-B,Mouse,Supplier-B,483.0,186,1783.45,2025-04-21
WH-C,Speaker,Supplier-X,66.0,126,957.67,2024-10-29
WH-A,Mouse,Supplier-Z,364.0,63,1464.79,2024-09-13
WH-E,Monitor,Supplier-A,,173,1204.55,2026-03-12
WH-C,CPU,Supplier-X,37.0,68,1067.13,2025-08-22
WH-D,Tablet,Supplier-A,220.0,165,1628.48,2024-10-18
WH-D,Mouse,Supplier-Y,138.0,131,1206.25,2025-08-26
WH-C,Camera,Supplier-X,,45,1930.35,2026-03-06
WH-C,Monitor,Supplier-Z,487.0,126,1981.58,2025-04-19
WH-A,Keyboard,Supplier-Z,109.0,73,1051.56,2025-01-08
WH-C,Camera,Supplier-B,,79,1835.04,2026-05-26
WH-C,Tablet,Supplier-A,249.0,52,1569.68,2025-12-24
WH-D,Mobile,Supplier-Y,455.0,49,2057.55,2024-11-24
WH-A,Printer,Supplier-B,292.0,168,1537.59,2025-08-12
WH-A,Monitor,Supplier-Z,44.0,132,1126.56,2026-05-03
WH-A,Camera,Supplier-X,406.0,142,1911.32,2026-01-05
WH-B,Tablet,Supplier-B,79.0,17,1331.15,2025-06-01
WH-E,Laptop,Supplier-Z,440.0,150,2132.87,2024-12-22
WH-C,Mouse,Supplier-A,104.0,67,1051.08,2026-02-27
WH-D,Camera,Supplier-X,145.0,119,1531.42,2024-07-02
WH-B,Mobile,Supplier-Y,365.0,165,1914.35,2026-05-17
WH-C,CPU,Supplier-X,104.0,192,1207.09,2024-12-11
WH-A,Keyboard,Supplier-Z,109.0,198,1025.32,2024-07-09
WH-E,Camera,Supplier-B,172.0,160,1629.54,2024-11-15
WH-A,Mobile,Supplier-Y,395.0,174,1882.27,2026-05-12
WH-A,CPU,Supplier-X,214.0,80,1405.88,2024-12-12
WH-C,Keyboard,Supplier-A,,91,1077.87,2024-09-28
WH-E,Mouse,Supplier-Z,69.0,125,1020.25,2026-04-24
WH-A,Mouse,Supplier-Z,141.0,108,1107.9,2024-11-19
WH-D,Printer,Supplier-Z,243.0,107,1631.89,2026-03-07
WH-E,Camera,Supplier-B,458.0,126,2105.61,2025-07-08
WH-E,Laptop,Supplier-Z,135.0,157,1571.49,2025-11-24
WH-C,Speaker,Supplier-A,435.0,171,1647.85,2025-06-27
WH-C,Tablet,Supplier-B,419.0,125,1923.96,2025-03-21
WH-C,Laptop,Supplier-A,118.0,149,1411.49,2024-11-28
WH-D,Laptop,Supplier-B,411.0,123,2234.42,2025-05-29
WH-B,Tablet,Supplier-Z,148.0,66,1426.1,2026-05-11
WH-B,Speaker,Supplier-A,333.0,139,1448.69,2025-03-09
WH-A,Mobile,Supplier-Z,,165,1234.11,2026-05-07
WH-B,Monitor,Supplier-B,423.0,147,1890.98,2025-07-02
WH-A,Camera,Supplier-A,450.0,132,1981.21,2024-07-02
WH-C,Monitor,Supplier-Z,,200,1136.42,2024-11-07
WH-D,Mobile,Supplier-A,76.0,40,1376.19,2024-12-06
WH-E,Laptop,Supplier-B,206.0,31,1640.94,2025-11-07
WH-B,CPU,Supplier-Y,,100,1570.99,2026-06-17
WH-E,Tablet,Supplier-Z,223.0,17,1552.54,2026-06-02
WH-C,Printer,Supplier-Z,284.0,17,1669.96,2026-03-02
WH-E,Tablet,Supplier-B,428.0,129,1928.05,2025-02-12
WH-C,Speaker,Supplier-Y,,48,1060.33,2024-08-19
WH-B,Laptop,Supplier-X,109.0,117,1480.13,2025-06-22
WH-B,Keyboard,Supplier-A,119.0,141,1104.85,2024-08-11
WH-C,Monitor,Supplier-X,327.0,79,1560.41,2025-09-23
WH-D,Speaker,Supplier-Y,381.0,123,1644.69,2024-07-21
WH-A,Printer,Supplier-B,217.0,141,1442.78,2024-07-18
WH-B,Laptop,Supplier-A,183.0,131,1631.65,2024-09-16
WH-E,Tablet,Supplier-X,382.0,57,1787.25,2025-01-04
WH-B,Speaker,Supplier-A,145.0,11,1147.45,2026-04-16
WH-B,Monitor,Supplier-A,60.0,29,1159.6,2024-11-02
WH-E,Laptop,Supplier-X,105.0,17,1391.6,2025-08-27
WH-B,Tablet,Supplier-Z,384.0,60,1830.83,2024-08-13
WH-E,Mobile,Supplier-Y,293.0,96,1696.48,2025-01-09
WH-B,CPU,Supplier-X,92.0,131,1234.93,2025-12-26
WH-C,Mouse,Supplier-Y,355.0,60,1494.55,2024-10-24
WH-A,Tablet,Supplier-X,37.0,67,1190.37,2024-10-15
WH-B,Speaker,Supplier-Z,386.0,134,1717.68,2024-12-01
WH-C,CPU,Supplier-Y,333.0,187,1651.4,2025-03-03
WH-B,Mobile,Supplier-Z,166.0,107,1557.85,2025-10-02
WH-E,Mobile,Supplier-Y,276.0,37,1651.67,2025-06-29
WH-C,Printer,Supplier-Z,,108,1694.07,2026-04-29
WH-E,Mobile,Supplier-A,98.0,83,1326.97,2026-01-07
WH-E,CPU,Supplier-X,400.0,186,1791.14,2026-06-26
WH-E,CPU,Supplier-Y,,19,1832.04,2026-03-06
WH-A,Printer,Supplier-Z,232.0,68,1503.57,2026-03-05
WH-A,Tablet,Supplier-X,22.0,68,1166.24,2026-06-23
WH-B,Keyboard,Supplier-X,16.0,35,903.36,2026-03-23
WH-C,Tablet,Supplier-X,86.0,160,1274.89,2026-05-06
WH-C,Tablet,Supplier-X,289.0,66,1654.71,2026-03-02
WH-D,CPU,Supplier-A,164.0,29,1395.14,2025-09-30
WH-E,Keyboard,Supplier-Y,151.0,190,1168.0,2025-08-07
WH-A,Laptop,Supplier-B,,42,2133.43,2025-08-23
WH-A,Tablet,Supplier-Y,347.0,145,1709.48,2026-05-17
WH-E,Camera,Supplier-Y,191.0,60,1560.15,2025-03-30
WH-B,Keyboard,Supplier-B,227.0,31,1329.83,2025-10-18
WH-E,Printer,Supplier-Z,,86,1370.5,2024-09-03
WH-B,Printer,Supplier-X,172.0,146,1482.16,2024-07-21
WH-D,Mouse,Supplier-Y,202.0,99,1351.56,2026-03-06
WH-E,Mobile,Supplier-A,337.0,170,1879.26,2026-01-20
WH-C,Tablet,Supplier-A,183.0,189,1381.03,2025-02-24
WH-D,CPU,Supplier-Z,150.0,142,1503.62,2026-05-26
WH-A,Keyboard,Supplier-X,358.0,24,1433.57,2026-04-10
WH-E,Laptop,Supplier-Z,298.0,145,1980.89,2025-02-15
WH-D,Speaker,Supplier-Y,,100,1164.79,2025-07-20
WH-D,Mouse,Supplier-A,216.0,145,1246.81,2025-12-21
WH-C,Laptop,Supplier-B,214.0,42,1645.23,2024-10-16
WH-C,Keyboard,Supplier-B,97.0,81,938.41,2025-06-18
WH-D,CPU,Supplier-A,446.0,147,1896.51,2024-11-21
WH-B,Printer,Supplier-A,247.0,132,1496.64,2026-06-07
WH-D,Keyboard,Supplier-B,273.0,153,1468.92,2026-06-02
WH-C,Monitor,Supplier-Y,334.0,82,1648.29,2025-12-06
WH-E,Mouse,Supplier-Z,198.0,56,1345.21,2025-03-04
WH-E,Speaker,Supplier-Y,,82,1717.72,2025-12-20
WH-D,CPU,Supplier-X,464.0,75,1936.35,2025-12-24
WH-E,Laptop,Supplier-B,492.0,60,2155.68,2026-05-21
WH-B,Laptop,Supplier-B,321.0,175,1942.4,2025-06-23
WH-B,Laptop,Supplier-A,354.0,142,1861.19,2025-06-10
WH-C,Laptop,Supplier-Z,196.0,98,1754.37,2025-04-18
WH-B,Mouse,Supplier-Z,113.0,176,1182.37,2026-01-12
WH-A,Printer,Supplier-Y,,125,1013.74,2025-02-12
WH-C,Mouse,Supplier-A,497.0,121,1608.94,2025-09-01
WH-A,Mobile,Supplier-X,,158,1605.09,2026-04-25
WH-D,Speaker,Supplier-B,444.0,148,1803.47,2026-05-30
WH-E,Mobile,Supplier-Z,452.0,161,2110.49,2024-07-14
WH-B,Mobile,Supplier-B,252.0,28,1613.88,2025-09-08
WH-D,Keyboard,Supplier-A,,162,1169.03,2025-10-21
